,speakerid,filename,birthplace,native_language,sex
10,11,arabic1,"riyadh, saudi arabia",arabic,female
11,12,arabic10,"cairo, egypt",arabic,male
12,13,arabic11,"monastir, tunisia",arabic,female
13,14,arabic12,"baghdad, iraq",arabic,male
14,15,arabic13,"zabbougha, lebanon",arabic,male
15,16,arabic2,"damascus, syria",arabic,male
16,17,arabic3,"doha, qatar",arabic,male
17,18,arabic4,"sharjah, united arab emirates",arabic,male
18,19,arabic5,"casablanca, morocco",arabic,female
19,20,arabic6,"sanaa, yemen",arabic,male
20,21,arabic7,"casablanca, morocco",arabic,female
21,22,arabic8,"casablanca, morocco",arabic,male
22,23,arabic9,"jerusalem, israel",arabic,female
206,207,hindi1,"nagpur, maharashtra, india",hindi,male
322,323,spanish1,"caracas, venezuela",spanish,male
323,324,spanish10,"san luis de la reina, el salvador",spanish,male
324,325,spanish11,"lima, peru",spanish,female
325,326,spanish12,"oviedo, spain",spanish,male
326,327,spanish13,"duitama, colombia",spanish,female
327,328,spanish14,"pereira, colombia",spanish,female
328,329,spanish15,"san juan, puerto rico",spanish,male
329,330,spanish16,"buenos aires, argentina",spanish,male
330,331,spanish17,"puebla, mexico",spanish,female
331,332,spanish18,"la paz, bolivia",spanish,male
332,333,spanish19,"havana, cuba",spanish,female
333,334,spanish2,"puerto la cruz, venezuela",spanish,male
334,335,spanish20,"managua, nicaragua",spanish,male
335,336,spanish21,"santiago, chile",spanish,male
336,337,spanish22,"madrid, spain",spanish,female
337,338,spanish23,"santiago, chile",spanish,male
338,339,spanish24,"mexico city, mexico",spanish,male
339,340,spanish25,"san jose, costa rica",spanish,male
340,341,spanish26,"burgos, spain",spanish,male
341,342,spanish27,"zaragoza, spain",spanish,male
342,343,spanish28,"san miguel, el salvador",spanish,female
343,344,spanish3,"bogota, colombia",spanish,female
344,345,spanish4,"cabanas, el salvador",spanish,female
345,346,spanish5,"bogota, colombia",spanish,female
346,347,spanish6,"lima, peru",spanish,male
347,348,spanish7,"bogota, colombia",spanish,female
348,349,spanish8,"san salvador, el salvador",spanish,male
349,350,spanish9,"araure, venezuela",spanish,male
409,410,spanish29,"maracaibo, zulia, venezuela",spanish,male
427,428,arabic14,"amman, jordan",arabic,male
436,437,arabic15,"qayrawan, tunisia",arabic,male
440,441,spanish30,"buenos aires, argentina",spanish,male
448,449,spanish31,"guayaquil, ecuador",spanish,female
449,450,spanish32,"santa cruz, bolivia",spanish,male
466,467,spanish33,"caracas, venezuela",spanish,male
470,471,arabic16,"meknes, morocco",arabic,male
475,476,spanish34,"cartagena, spain",spanish,male
478,479,spanish35,"mexico city, mexico",spanish,male
498,499,spanish36,"montevideo, uruguay",spanish,male
511,512,arabic17,"settat, morocco",arabic,male
538,539,arabic18,"kuwait city, kuwait",arabic,male
574,575,spanish37,"tegucigalpa, honduras",spanish,female
575,576,spanish38,"tegucigalpa, honduras",spanish,male
586,587,hindi2,"hyderabad, india",hindi,male
592,593,hindi3,"jalandhar, india",hindi,male
613,614,spanish39,"pamplona, spain",spanish,male
624,625,arabic19,"khouribga, morocco",arabic,male
642,643,arabic20,"chtaura, beqa valley, lebanon",arabic,male
643,644,spanish40,"cartago, costa rica",spanish,male
669,670,arabic21,"beirut, lebanon",arabic,female
705,706,spanish41,"bonao, dominican republic",spanish,male
711,712,spanish42,"bogota, colombia",spanish,female
713,714,spanish43,"santiago-dr, dominican republic",spanish,male
714,715,spanish45,"santiago-dr, dominican republic",spanish,female
715,716,spanish44,"la romana, dominican republic",spanish,female
716,717,spanish46,"santo domingo, dominican republic",spanish,male
717,718,spanish47,"santo domingo, dominican republic",spanish,female
730,731,spanish48,"bilbao, spain",spanish,male
731,732,spanish49,"tandil, argentina",spanish,male
751,752,spanish50,"santo domingo, dominican republic",spanish,male
752,753,spanish51,"caguas, puerto rico",spanish,male
764,765,hindi4,"bhilwara, rajisthan, india",hindi,female
776,777,spanish52,"popayan, cauca, colombia",spanish,female
796,797,spanish53,"bogota, colombia",spanish,male
799,800,spanish54,"vina del mar, chile",spanish,male
809,810,spanish55,"tandil, argentina",spanish,male
837,838,spanish56,"monterrey, mexico",spanish,male
844,845,hindi5,"hubballi, karnataka, india",hindi,female
865,866,hindi6,"new delhi, india",hindi,female
866,867,hindi7,"allahabad, utter pardesh, india",hindi,female
885,886,spanish57,"montevideo, uruguay",spanish,male
905,906,spanish58,"bogota, colombia",spanish,male
907,908,spanish59,"mayaguez, puerto rico",spanish,female
909,910,hindi8,"imphal, india",hindi,male
914,915,spanish60,"santiago-dr, dominican republic",spanish,female
919,920,arabic22,"abu dhabi, united arab emirates",arabic,female
923,924,spanish61,"azuaga, spain",spanish,male
924,925,spanish62,"buenos aires, argentina",spanish,female
926,927,arabic23,"al mahalla, egypt",arabic,male
958,959,spanish63,"la coruna, spain",spanish,female
961,962,spanish64,"medellin, colombia",spanish,male
969,970,arabic24,"cairo, egypt",arabic,male
1010,1011,arabic25,"ramun, israel (occupied territory)",arabic,male
1011,1012,arabic26,"amman, jordan",arabic,female
1012,1013,arabic27,"jerusalem, israel",arabic,male
1016,1017,hindi9,"durgapur, west bengal, india",hindi,male
1068,1069,spanish65,"barranquilla, colombia",spanish,male
1076,1077,spanish66,"san salvador, el salvador",spanish,male
1110,1111,spanish67,"santa marta, colombia",spanish,female
1114,1115,arabic28,"al-ayn, united arab emirates",arabic,male
1115,1116,arabic29,"doha, qatar",arabic,male
1132,1133,arabic30,"riyadh, saudi arabia",arabic,female
1180,1181,arabic31,"baghdad, iraq",arabic,female
1201,1202,hindi10,"new delhi, india",hindi,female
1202,1203,arabic32,"baghdad, iraq",arabic,male
1203,1204,arabic33,"baghdad, iraq",arabic,female
1226,1227,spanish68,"san fernando, chile",spanish,male
1228,1229,spanish69,"caracas, venezuela",spanish,female
1229,1230,spanish70,"bogota, colombia",spanish,female
1230,1231,spanish71,"rosario, argentina",spanish,male
1237,1238,spanish72,"miami, florida, usa",spanish,female
