,speakerid,filename,birthplace,native_language,sex
0,11,arabic1,"riyadh, saudi arabia",arabic,female
1,12,arabic10,"cairo, egypt",arabic,male
2,13,arabic11,"monastir, tunisia",arabic,female
3,14,arabic12,"baghdad, iraq",arabic,male
4,15,arabic13,"zabbougha, lebanon",arabic,male
5,16,arabic2,"damascus, syria",arabic,male
6,17,arabic3,"doha, qatar",arabic,male
7,18,arabic4,"sharjah, united arab emirates",arabic,male
8,19,arabic5,"casablanca, morocco",arabic,female
9,20,arabic6,"sanaa, yemen",arabic,male
10,21,arabic7,"casablanca, morocco",arabic,female
11,22,arabic8,"casablanca, morocco",arabic,male
12,23,arabic9,"jerusalem, israel",arabic,female
13,61,english1,"pittsburgh, pennsylvania, usa",english,male
14,62,english10,"davenport, iowa, usa",english,female
15,63,english100,"miami, florida, usa",english,female
16,64,english101,"toronto, ontario, canada",english,female
17,65,english102,"torrington, connecticut, usa",english,male
18,66,english103,"staten island, new york, usa",english,male
19,67,english104,"youngstown, ohio, usa",english,female
20,68,english11,"staffordshire, uk",english,female
21,69,english12,"leicester, uk",english,female
22,70,english13,"henley on thames, oxfordshire, uk",english,male
23,71,english14,"belfast, northern ireland, uk",english,male
24,72,english15,"norton, virginia, usa",english,female
25,73,english16,"wise, virginia, usa",english,male
26,74,english17,"darwin va, virginia, usa",english,male
27,75,english18,"dickenson county, virginia, usa",english,female
28,76,english19,"louisville, kentucky, usa",english,male
29,77,english2,"birmingham, uk",english,female
30,78,english20,"mt. holly, north carolina, usa",english,female
31,79,english21,"boston, massachusetts, usa",english,female
32,80,english22,"panama city, panama",english,female
33,81,english23,"englewood, tennessee, usa",english,male
34,82,english24,"glasgow, scotland, uk",english,male
35,83,english25,"atlanta, georgia, usa",english,male
36,84,english26,"smith island, maryland, usa",english,male
37,85,english27,"smith island, maryland, usa",english,female
38,86,english28,"toronto, ontario, canada",english,male
39,87,english29,"lindsay, ontario, canada",english,female
40,88,english3,"brisbane, australia",english,female
41,89,english30,"st. mary's, ontario, canada",english,female
42,90,english31,"st. augustine, trinidad",english,female
43,91,english32,"fresno, california, usa",english,female
44,92,english33,"san diego, california, usa",english,male
45,93,english34,"ronkonkoma, new york, usa",english,female
46,94,english35,"milwaukee, wisconsin, usa",english,female
47,95,english36,"arcadia, wisconsin, usa",english,male
48,96,english37,"yole, india",english,female
49,97,english38,"littlehampton, uk",english,male
50,98,english39,"new orleans, louisiana, usa",english,female
51,99,english4,"saint anne's bay, jamaica",english,female
52,100,english40,"dudley, uk",english,male
53,101,english41,"wellington, new zealand",english,male
54,102,english42,"nigel, south africa",english,male
55,103,english43,"vancouver, british columbia, canada",english,male
56,104,english44,"winston salem, north carolina, usa",english,female
